Time	TimeofDay	Left Encoder Velocity CP	
3.084814	1.679790896928E12	0.0	
3.105132	1.679790896948E12	0.0	
3.126019	1.679790896969E12	0.0	
3.145967	1.679790896989E12	0.0	
3.165429	1.679790897008E12	0.0	
3.185613	1.679790897028E12	0.0	
3.205554	1.679790897048E12	0.0	
3.225414	1.679790897068E12	0.0	
3.245322	1.679790897088E12	0.0	
3.266258	1.679790897109E12	0.0	
3.287153	1.67979089713E12	0.0	
3.308133	1.679790897151E12	0.0	
3.329141	1.679790897172E12	0.0	
3.350063	1.679790897193E12	0.0	
3.369899	1.679790897213E12	0.0	
3.389745	1.679790897232E12	0.0	
3.40957	1.679790897252E12	0.0	
3.429447	1.679790897272E12	0.0	
3.4492	1.679790897292E12	0.0	
3.469208	1.679790897312E12	0.0	
3.490164	1.679790897333E12	0.0	
3.510987	1.679790897354E12	0.0	
3.530829	1.679790897374E12	0.0	
3.550629	1.679790897393E12	0.0	
3.570512	1.679790897413E12	0.0	
3.590289	1.679790897433E12	0.0	
3.610252	1.679790897453E12	0.0	
3.631116	1.679790897474E12	0.0	
3.650936	1.679790897494E12	0.0	
3.670734	1.679790897513E12	0.0	
3.690772	1.679790897534E12	0.0	
3.710602	1.679790897553E12	0.0	
3.730641	1.679790897573E12	0.0	
3.750439	1.679790897593E12	0.0	
3.770336	1.679790897613E12	0.0	
3.790338	1.679790897633E12	0.0	
3.811139	1.679790897654E12	0.0	
3.831412	1.679790897674E12	0.0	
3.851199	1.679790897694E12	0.0	
3.872096	1.679790897715E12	0.0	
3.893042	1.679790897736E12	0.0	
3.912949	1.679790897756E12	0.0	
3.932912	1.679790897776E12	0.0	
3.952738	1.679790897795E12	0.0	
3.972529	1.679790897815E12	0.0	
3.992509	1.679790897835E12	0.0	
4.012442	1.679790897855E12	0.0	
4.032596	1.679790897875E12	0.0	
4.052533	1.679790897895E12	0.0	
4.072438	1.679790897915E12	0.0	
4.092267	1.679790897935E12	0.0	
4.11317	1.679790897956E12	0.0	
4.13408	1.679790897977E12	0.0	
4.153882	1.679790897997E12	0.0	
4.173736	1.679790898016E12	0.0	
4.193583	1.679790898036E12	0.0	
4.213545	1.679790898056E12	0.0	
4.233342	1.679790898076E12	0.0	
4.253289	1.679790898096E12	0.0	
4.274218	1.679790898117E12	0.0	
4.295126	1.679790898138E12	0.0	
4.315955	1.679790898159E12	0.0	
4.335955	1.679790898179E12	0.0	
4.355844	1.679790898199E12	0.0	
4.37585	1.679790898219E12	0.0	
4.3957	1.679790898238E12	0.0	
4.415695	1.679790898258E12	0.0	
4.435608	1.679790898278E12	0.0	
4.455754	1.679790898299E12	0.0	
4.475688	1.679790898318E12	0.0	
4.496386	1.679790898339E12	0.0	
4.5165	1.679790898359E12	0.0	
4.536359	1.679790898379E12	0.0	
4.556465	1.679790898399E12	0.0	
4.576626	1.679790898419E12	0.0	
4.596542	1.679790898439E12	0.0	
4.616589	1.679790898459E12	0.0	
4.636865	1.67979089848E12	0.0	
4.656739	1.679790898499E12	0.0	
4.676587	1.679790898519E12	0.0	
4.69654	1.679790898539E12	0.0	
4.716989	1.67979089856E12	0.0	
4.737064	1.67979089858E12	0.0	
4.756356	1.679790898599E12	0.0	
4.77711	1.67979089862E12	0.0	
4.797905	1.679790898641E12	0.0	
4.817779	1.679790898661E12	0.0	
4.837904	1.679790898681E12	0.0	
4.857658	1.6797908987E12	0.0	
4.877402	1.679790898763E12	0.0	
4.920708	1.679790898763E12	0.0	
4.941011	1.679790898784E12	0.0	
4.961256	1.679790898804E12	0.0	
4.982487	1.679790898825E12	0.0	
5.001643	1.679790898844E12	0.0	
5.021445	1.679790898864E12	0.0	
5.041366	1.679790898884E12	0.0	
5.062141	1.679790898905E12	0.0	
5.083024	1.679790898926E12	0.0	
5.102896	1.679790898946E12	0.0	
